Australian Business Number (ABN),Legal entity name,Service provider name,Legal entity postcode,Legal entity suburb/locality,Legal entity LGA,Service delivery postcode,Service delivery suburb/locality,Service delivery LGA,Longitude,Latitude,Funding agency,Program title,Sub-program title,Statewide,Purpose,Category1,Recipient type,Client group1,Assistance type1,Business specific activity,Funding source,Funding use,Financial year expenditure,Funding agreement duration,Funding agreement start,Funding agreement end,Total expenditure under this agreement to date,Total expenditure under this agreement notes
11746358763,Youth Advocacy Centre Inc,YAC - Caboolture Watchhouse Support,4101,South Brisbane,Brisbane (C),4101,South Brisbane,Brisbane (C),,,DYJ,Watchhouse Support,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,91000,Multi-year,1/10/2023,31/12/2024,91000,
11746358763,Youth Advocacy Centre Inc,YAC Intensive Bail Initiative,4101,South Brisbane,Brisbane (C),4101,South Brisbane,Brisbane (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1794206,Multi-year,1/07/2023,30/06/2028,1794206,
34797758772,Youth Empowered Towards Independence Inc,Cairns and Yarrabah Youth Bail Support Service (CYYBSS),4870,Bungalow,Cairns (R),4870,Bungalow,Cairns (R),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,710874,Multi-year,1/07/2021,30/06/2025,2024369,
34797758772,Youth Empowered Towards Independence Inc,Strong Together,4870,Bungalow,Cairns (R),4870,Bungalow,Cairns (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,602092,Multi-year,1/01/2023,31/12/2027,887092,
34797758772,Youth Empowered Towards Independence Inc,YETI - Multi Agency Collaboration Panel,4870,Bungalow,Cairns (R),4870,Bungalow,Cairns (R),,,DYJ,SMART/MACP,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,264076,Multi-year,1/03/2023,30/06/2026,347409,
34797758772,Youth Empowered Towards Independence Inc,YETI Diversion Service,4870,Bungalow,Cairns (R),4870,Bungalow,Cairns (R),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,375692,1 year or less,1/07/2023,31/12/2023,187846,
34797758772,Youth Empowered Towards Independence Inc,YETI Child Victim Support Coordination Project,4870,Bungalow,Cairns (R),4870,Bungalow,Cairns (R),,,DYJ,YETI Child Victim Support Coordination Project,,No,YETI to employ a registered Social Worker or Psychologist to provide Supports Coordination to victims of Operation Uniform Kalahari,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,50000,1 year or less,1/10/2023,31/03/2024,50000,
81137151711,THE ORTHODOX CATHOLIC CHURCH OF CHRIST THE KING,,4510,Caboolture,Moreton Bay (R),4509,North Lakes,Moreton Bay (R),,,DYJ,Community-based Crime Action,,No,"A Youth Symposium with the purpose of encouraging youth from various cultures / faiths in the local area and region to engage in activities/events to promote an intercultural/ faith/ethnicity peace and harmony agenda with an objective to reduce crime and racialisation. It aims to support youth to become productive members of the community by increasing awareness, sense of self and feeling they have something to contribute to in a real way through their own strengths and sense of identity.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,3182,Multi-year,1/04/2023,31/12/2024,3182,
21227399530,YOUNITY COMMUNITY SERVICES LTD,,4508,Deception Bay,Moreton Bay (R),4508,Deception Bay,Moreton Bay (R),,,DYJ,Community-based Crime Action,,No,"An outreach engagement-based intervention at Deception Bay Skate Park to serve as a diversionary activity aimed at reducing recidivism. Providing bicycle / scooter mechanics pop - up workshops, community feast and youth engagement workers to provide at risk and marginalized young people support to engage after school activities where they can learn bicycle /scooter maintenance, increase safety awareness, and develop connections with local youth service providers. The outreach program will operate between 12 noon until 6pm every Wednesday where Engagement workers aim to connect with young people who are more at risk, vulnerable, have left or are disengaged from schooling.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,34895,1 year or less,1/01/2024,30/06/2024,34895,
60123297446,CONSERVATORIUM FRIENDS MACKAY INC,,4740,Mackay,Mackay (R),4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"A 50 - minute live theatre presentation delivered to 17 – 18-year-olds in their final year of school to address youth safety and crime issues. ‘Choices’ aims to reduce risk - taking behaviours using a harm - minimization framework that addresses issues including risky drinking, illicit drug use, domestic violence, assault, driving under the influence of drugs and/ or alcohol, hooning, fatigued driving, sexual assault, sexually transmitted infections, safe partying, and offers support programs for young people at Schoolies and throughout the year. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,18991,1 year or less,12/02/2024,4/03/2024,18991,
62672971162,FIGHT 4 YOUTH,,4223,Currumbin Waters,Gold Coast (C),4223,Currumbin Waters,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"The Fight 4 Youth program condenses 20 sessions into an 8-week school term, teaching vital life skills such as regulating behaviour, understanding consequences, and exploring interests for future education or work for young people aged 10 to 17 years. The Inside Out Outreach Program serves schools without access to the Fight 4 Youth centre, targeting at-risk students with 20 sessions led by various facilitators, including police. It includes physical training for discipline and health.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,8118,1 year or less,9/10/2023,8/12/2023,8118,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4510,Caboolture,Moreton Bay (R),,,DYJ,Community-based Crime Action,,No,"Drop in program as a diversionary activity in response to youth related anti-social behavious and criminal activity within and external to Morayfield Shipping Centre, delivered consistently every Thursday evening 5:30-7:30pm irrelevant of weather, providing conistency for YP. Activities to include sports, obstacles, games, arts and crafts, video games. Aiming to build positive relationship with QPS and re-engage youth with education, training and employment programs within the community by positively engaging with YP and becoming a safe space for youth. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,8850,1 year or less,1/02/2024,31/08/2024,8850,
99999999999,Brad Huddleston Ministries,,1234,Interstate,Interstate,4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"Age-appropriate seminars around digital addiction delivered in schools. Media driven to show that digital devices have a positive use. A clear distinction between using technology in an addictive manner and a healthy one will be made. Will include insights into the legalities of certain types of online, offline behaviours and behaviour as to what should be reported. Will teach the brain science behind digital addition and the solutions to these dilemmas.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,38760,1 year or less,13/04/2024,30/05/2024,38760,
94477463652,GLOBAL CARE AUSTRALIA,,4152,Carindale,Brisbane (C),4077,Inala,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"A community mentor project aimed re- engage young people at risk  by providing activities and support on Friday and Sunday evenings. The program will create a provides children to engage with other children and adults in the community to promote positive relationships and help to reduce the risk of youth engaging in anti-social behaviours. The program will work towards teaching life skills, encouraging positive growth and positive productive functioning within the community through mentorship with African, First Nations mentors and the community activities.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,20000,Multi-year,6/11/2023,6/11/2024,20000,
66010113603,TOWNSVILLE ABORIGINAL AND TORRES STRAIT ISLANDER CORPORATION FOR HEALTH SERVICES,,4814,Garbutt,Townsville (C),4814,Garbutt,Townsville (C),,,DYJ,Community-based Crime Action,,No,"Dedicated 1 day a week for 715 checks for YJ, EAG and YCRT kids and families.
One doctor who will liaise with to then assist and coordinate health service with families. 
TAIHS assessment is shared with Qld health.  
The 715 checks will screen for physical and neurodevelopmental health issues.  Every YP we deal, and the family will be completed which will provide a more accurate picture of the impacts of health.
Transport is an option for families and YP to access the service. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,61464,1 year or less,5/02/2024,5/08/2024,61464,
56389629420,Gunya Meta,,4114,Woodridge,Logan (C),4115,Algester,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"Case management to two extended First Nations families in Logan District and three youth Serious Repeat Offenders who have caused considerable harm to the Logan community. The families present with complex issues including substance/alcohol issues, domestic and family violence, mental health issues, intellectual disabilities and anti-social behaviours. Aims to empower families through equipping them with relevant level of mentoring and support to confidently seek and access support services. A community response involving respected members from the community including community elders from both the Aboriginal and Torres Strait Islander and Maori and Pasifika communities. A strength-based approach will be applied with focus on the below mentioned elements to ensure interventions are effective and have long term outcomes:
•	Case Management
•	Family Intervention Planning
•	In home family support including life skills program, budgeting, support services applications and connection to culture
•	Cultural healing and reconnection 
•	Family camp which also incorporates Women and Mens business 
•	Education and Employment support and transition
•	Support services through Gunya Meta community programs",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,8/01/2024,30/07/2024,75000,
93667215894,MEEKA SUPPORT SERVICE PTY LTD,,4573,Coolum Beach,Sunshine Coast (R),4551,Caloundra,Sunshine Coast (R),,,DYJ,Community-based Crime Action,,No,"Meeka Intensive Transition Service (MITSS), born from collaboration with local Indigenous communities, builds on its successful Brisbane Youth Detention Centre trial. It provides a comprehensive transition program for young people aged 10 – 15 years, focusing on cultural reconnection, positive relationships, well-being, and certified education. MITSS seeks to address systemic issues and create lasting community change.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,70000,1 year or less,7/05/2024,13/12/2024,70000,
95636275075,NQ UMMAH CARE LTD,,4812,Mundingburra,Townsville (C),4812,Mundingburra,Townsville (C),,,DYJ,Community-based Crime Action,,No,"The Townsville soccer program aims to empower 300 multi-ethnic and multi-faith CALD youth, aged 8-25, at risk of youth crime over six months. Participants will actively shape the program, which features weekend matches and intercultural tournaments during school breaks. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,70000,1 year or less,1/04/2024,28/02/2025,70000,
46634770264,VILLAGE CONNECT LTD.,,4127,Slacks Creek,Logan (C),4076,Wacol,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"The KOKO mentor will assist youth transitioning from Brisbane Youth Detention Centre (BYDC) back into the community through an 8-week program, addressing relationship building, anger management, positive attitudes, cultural connectedness, and more. One-on-one support and community program linkage will be provided, with ongoing family support. Utilising a holistic, culturally safe Village Connect network, the program aims to support youth, aged 10-17, and their families/carers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/04/2024,28/03/2025,75000,
62672971162,FIGHT 4 YOUTH,,4223,Currumbin Waters,Gold Coast (C),4223,Currumbin Waters,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"The Fight 4 Youth program condenses 20 sessions into an 8-week school term, teaching vital life skills such as regulating behaviour, understanding consequences, and exploring interests for future education or work for young people aged 10 to 17 years. The Inside Out Outreach Program serves schools without access to the Fight 4 Youth centre, targeting at-risk students with 20 sessions led by various facilitators, including police. It includes physical training for discipline and health.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,23599,1 year or less,15/04/2024,21/06/2024,23599,
47410115747,Family and Childrens Emerging Support Services Aboriginal and Torres Strait Islander Corporation,,4740,Mackay,Mackay (R),4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"Program targeting young people 8 – 18 years. It includes a case management response comprising goal assessment, positive role modelling, skill development, academic support, community integration, and future planning. Following the program, a network of community mentors will be established to offer ongoing educational resources, aid in job placement, facilitate community involvement, and provide referrals for extended support services. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,29/04/2024,29/08/2024,75000,
98544197890,GOLD COAST YOUTH SERVICE INC,,4220,Miami,Gold Coast (C),4209,Coomera,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"This program helps 12 to 17-year-olds engage in social, active, and fun activities, aiming to create a sense of community and belonging. It builds their skills to make positive choices for the future by teaching practical life skills and coping strategies. By connecting with peers and service providers. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,11458,1 year or less,4/04/2024,6/06/2024,11458,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4740,North Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"A Community Culture Youth Program utilising early intervention and diversionary strategies. It takes an inclusive approach that caters to a diverse range of cultural backgrounds.
The program focuses on engaging youth aged 5-19 through a variety of activities, including sporting, social, and cultural events, while also providing participants with mentorship opportunities.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/07/2024,30/06/2025,75000,
70819002258,The Trustee for YOUTH ENTERPRISE TRUST,,4270,Tamborine,Scenic Rim (R),4270,Tamborine,Scenic Rim (R),,,DYJ,Community-based Crime Action,,No,"The In-Tent for Change resilience program targets youth aged 13-19 years. The program fosters social, emotional, and personal growth by deepening appreciation for nature and addressing trauma and disconnection from education or community. Options include a 10-week school-based program for ages 13-19 years and a 6-month farm-based program for ages 15 and above.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,15/04/2024,11/04/2025,75000,
27131187918,NGARAN GOORI LTD.,,4305,Ipswich,Ipswich (C),4306,Ironbark,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"Program for young people at risk of offending connects with them and their families, providing counselling and therapy. Yarning Circles foster open communication among youth and families. Planned activities are tailored to each person, and progress is monitored. Outdoor activities take place in a culturally appropriate setting on 20 acres of bush, focusing on native plant propagation and Landcare management. Referrals to the Next Step Program for further support.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,5/04/2024,26/07/2024,75000,
37631513570,ICARE SUPPORT SERVICES AUSTRALIA PTY LTD,,4305,Ipswich,Ipswich (C),4305,Ipswich,Ipswich (C),,,DYJ,Community-based Crime Action,,No,Empower Youth for Safer Communities is a program focused on assisting young people aged 10 to 17 years who are at risk of offending by offering support and life skill opportunities through activities that have a positive impact. The program is designed based on community concerns and involves young people with cultural inclusivity in diverse communities. ,Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,20000,1 year or less,19/04/2024,21/06/2024,20000,
62367448449,"SPENCE, SUZANNE",Horses Helping Humans ,4228,Tallebudgera,Gold Coast (C),4228,Tallebudgera,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"Program to empower at-risk young people aged 10-18 years with life and social skills, employment readiness, and mentorship through a transformative horse-assisted program. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,29040,1 year or less,6/05/2024,6/08/2024,29040,
55414872249,CHERBOURG WELLBEING INDIGENOUS CORPORATION,,4605,Cherbourg,Cherbourg (S),4605,Cherbourg,Cherbourg (S),,,DYJ,Community-based Crime Action,,No,"Cherbourg Wellbeing Indigenous Corporation (CWB) is a fully Aboriginal-run organisation that puts culture first. With strong local leadership and cultural wisdom passed down through generations, focus on keeping our community strong and out of trouble. By working closely with locals, the aim is to improve the lives of Cherbourg youth. Our project offers flexible programs outside regular hours to reduce youth crime, strengthen community bonds, and support young people at risk. CWB provide cultural activities like Bunya camps for boys and Maidenwell camps for girls, along with health checks and other support services.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,30/04/2024,30/04/2025,75000,
11746358763,YOUTH ADVOCACY CENTRE INC,,4101,South Brisbane,Brisbane (C),4507,Bellara,Moreton Bay (R),,,DYJ,Community-based Crime Action,,No,"Partnership between The Youth Advocacy Centre and Pumicestone Indigenous Education & Employment Council offers a culture-based program providing education, social, employment, and cultural support to young people aged 10 - 17 who are disengaged from education and becoming at-rvisk of offending. This program is delivered through a youth outreach program at Bribie Island Lions Club and skatepark, in addition to the youth support service that YAC provides in the area. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,69652,1 year or less,1/05/2024,1/05/2025,69652,
18161370412,SWIMON PTY LIMITED,,1234,Interstate,Interstate,4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"This program aims to tackle the social factors that contribute to youth crime and domestic and family violence providing school presentations for young people aged 14 – 19 years, focusing on domestic family violence education, including coercive control and linking to local support services. Program will be delivered both online and face to face. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,25900,1 year or less,9/09/2024,13/09/2024,25900,
34683873965,THE HERVEY BAY NEIGHBOURHOOD CENTRE INCORPORATED,,4655,Pialba,Fraser Coast (R),4655,Pialba,Fraser Coast (R),,,DYJ,Community-based Crime Action,,No,"BEATS offers young people at risk a chance to enhance their ability to participate in positive community involvement within the music industry and explore music and entrepreneurship as career paths. This includes collaboration with youth justice, police, schools, child safety, and other services to engage young people aged 10-17.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,74565,1 year or less,1/05/2024,6/12/2024,74565,
91691721868,Every Child Central Queensland Inc,,4680,Gladstone,Gladstone (R),4701,Park Avenue,Rockhampton (R),,,DYJ,Community-based Crime Action,,No,"Our Space at Stockland Rockhampton is a vital hub for youth, including at-risk individuals and families, offering essential support and information. From community services details to program guidance and soft referrals, it's a place where both youth and service providers connect. Activities are also hosted during school holidays, it caters primarily to 12-17-year-olds, with occasional programming for younger children.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,68805,1 year or less,15/04/2024,15/04/2025,68805,
36593592352,"CARTNER, MARK GEOFFREY",Walk about Training,4670,Gooburrum,Bundaberg (R),4670,Gooburrum,Bundaberg (R),,,DYJ,Community-based Crime Action,,No,"The program teaches skills and qualifications to at-risk students, particularly those prone to dropping out of mainstream schools and requiring child protection interventions. It integrates substantial cultural content to foster reconciliation and understanding among Indigenous and non-Indigenous students. Students earn an outdoor education qualification and receive therapeutic support Tailored for ages 13-18, the program provides a comprehensive approach to education and well-being.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/04/2024,9/01/2025,75000,
60156637360,Yallambee Aboriginal Culture & Community Advancement Inc.,,4825,Soldiers Hill,Mount Isa (C),4825,Mount Isa City,Mount Isa (C),,,DYJ,Community-based Crime Action,,No,"The on-country cultural program with Kalkadoon young people aged 10 – 17 years, specifically targets the Yallambee community, using pro-social activities, economic participation, and environmental sustainability initiatives.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,22/04/2024,14/12/2024,75000,
75552944351,GARBUTT MAGPIES UNITED SPORTING ASSOCIATION INC.,,4815,Condon,Townsville (C),4814,Garbutt,Townsville (C),,,DYJ,Community-based Crime Action,,No,"A holistic program designed to empower First Nations youth aged 10-17 and their families fosters mental, emotional, and physical well-being through sport engagement. It forges connections with trusted role models to address safety and biological needs, guiding participants towards their aspirations and Murma Thalgarie, or Dreaming of their future. Linked businesses offer employment opportunities, facilitating a seamless transition to positive work environments and ensuring future prospects post-school completion.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,70000,1 year or less,1/04/2024,1/11/2024,70000,
66118006866,UNITING CHURCH EDMONTON,,4869,Edmonton,Cairns (R),4869,Edmonton,Cairns (R),,,DYJ,Community-based Crime Action,,No,"The South Drop In Centre operates one night a week, offering an after-hours service that provides a safe space for young people to access various services, projects and activities. Current attendance of a service attacts young people aged 10 – 21.
Additionally, South Pick-Up Games occur one night a week, catering to young people aged 12-15 years.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,54000,Multi-year,12/04/2024,30/04/2025,54000,
67047589753,QUEENSLAND BLUE LIGHT ASSOCIATION INCORPORATED,,4110,Acacia Ridge,Brisbane (C),4470,Charleville,Murweh (S),,,DYJ,Community-based Crime Action,,No,"The Charleville Dirt Bike Rally is a two-day event designed for kids aged 5-17 years learning about dirt bike riding safely. Certified coaches from Cycle Right lead sessions tailored to different age groups. The rally also aims to bring the community and police together for safety and connection. Participants gain valuable skills in legal obligations, safe riding, bike operation, gear importance, and environmental awareness.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,15988,1 year or less,6/07/2024,7/07/2024,15988,
67047589753,QUEENSLAND BLUE LIGHT ASSOCIATION INCORPORATED,,4110,Acacia Ridge,Brisbane (C),4558,Maroochydore,Sunshine Coast (R),,,DYJ,Community-based Crime Action,,No,"This is an early intervention program targeting 20 young people aged 12 to 17 years. The program provides various activities to encourage pro-social interactions and positive peer connections. The program focuses on physical training and discipline, making healthy choices, as well as leadership, teamwork and mentoring. The program builds relationships between youth and police, improving attitudes toward authority, school, and peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,20886,1 year or less,15/04/2024,13/09/2024,20886,
67047589753,QUEENSLAND BLUE LIGHT ASSOCIATION INCORPORATED,,4110,Acacia Ridge,Brisbane (C),4110,Acacia Ridge,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"This is an early intervention program targeting 20 young people aged 12 to 17 years. The program provides various activities to encourage pro-social interactions and positive peer connections. The program focuses on physical training and discipline, making healthy choices, as well as leadership, teamwork and mentoring. The program builds relationships between youth and police, improving attitudes toward authority, school, and peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,10352,1 year or less,15/04/2024,13/09/2024,10352,
67047589753,QUEENSLAND BLUE LIGHT ASSOCIATION INCORPORATED,,4110,Acacia Ridge,Brisbane (C),4380,Stanthorpe,Southern Downs (R),,,DYJ,Community-based Crime Action,,No,"This is an early intervention program targeting 20 young people aged 12 to 17 years. The program provides various activities to encourage pro-social interactions and positive peer connections. The program focuses on physical training and discipline, making healthy choices, as well as leadership, teamwork and mentoring. The program builds relationships between youth and police, improving attitudes toward authority, school, and peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,6025,1 year or less,8/07/2024,13/09/2024,6025,
67047589753,QUEENSLAND BLUE LIGHT ASSOCIATION INCORPORATED,,4110,Acacia Ridge,Brisbane (C),4183,Dunwich,Redland (C),,,DYJ,Community-based Crime Action,,No,"This is an early intervention program targeting 20 young people aged 12 to 17 years. The program provides various activities to encourage pro-social interactions and positive peer connections. The program focuses on physical training and discipline, making healthy choices, as well as leadership, teamwork and mentoring.The program builds relationships between youth and police, improving attitudes toward authority, school, and peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,20886,1 year or less,8/07/2024,13/12/2024,20886,
34683873965,THE HERVEY BAY NEIGHBOURHOOD CENTRE INCORPORATED,,4655,Pialba,Fraser Coast (R),4655,Pialba,Fraser Coast (R),,,DYJ,Community-based Crime Action,,No,"This is a six-month pilot that will employ two part time young people aged 18-25 years to organise and deliver youth-led events aiming to reduce youth crime, promote alcohol and drug free gatherings. The program provides skills development in event management and marketing. YETI aims to be self-sustaining through event income generated by hosting three large and four small events targeting at risk young people. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,74855,1 year or less,3/06/2024,20/12/2024,74855,
66460345968,THE PACWEST MANAGEMENT TRUST,,4078,Forest Lake,Brisbane (C),4078,Forest Lake,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"Equine-assisted therapy (EAT)
The EAT program, targeted at disengaged 10 to 18 year olds, aims to promote the physical and mental health of participants. This program is designed to support at-risk young people, helping to alleviate trauma, foster self-connection, and cultivate empathy towards others and encouraging positive behaviour and fostering a sense of responsibility.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,22101,1 year or less,1/06/2024,21/12/2024,22101,
19647649607,ADVENTURE CREW PTY LTD,,4131,Meadowbrook,Logan (C),4131,Meadowbrook,Logan (C),,,DYJ,Community-based Crime Action,,No,"Based in Logan, Shifting Gears is a diversionary program teaching vehicle repair to at-risk young people, using the Wheelnutz 6 C’s model for Positive Youth Development. It offers mentoring, coaching, and pro-social activities to support skill development, foster employment pathways, social skills, and inclusive friendships.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,11205,1 year or less,1/07/2024,30/06/2024,11205,
81429537800,"WENITONG, ADAM JEFFREY",Adapt Mentorship and Consultancy,4350,Rangeville,Toowoomba (R),4350,Toowoomba,Toowoomba (R),,,DYJ,Community-based Crime Action,,No,"A 16 week circuit breaker program targeted at 10 to 18 year olds, providing weekly 2 day programs outside of school/business hours. The program offers cultural and creative activities like podcasting and song writing workshops. Central to the program is mentorship, celebrating culture, empowering participants, and fostering community engagement. The program aims to transform and empower youth through creative expression, countering negative stereotypes.  ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,60192,1 year or less,14/06/2024,3/10/2024,60192,
14401791591,The Trustee for LCS Trust,Legacy Counselling Services,4300,Springfield Lakes,Ipswich (C),4303,Riverview,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"A culturally informed trauma intervention program for at risk young people and young people in detention, specifically from Pasifika, CALD (Culturally and Linguistically Diverse), and Indigenous backgrounds.
The program provides evidence-based therapeutic interventions, ensuring the highest standard of mental health care and strives to empower these at-risk youth, fostering resilience, and promoting positive well-being within their respective cultural frameworks through culturally sensitive therapy and personalised mental health care.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,8/07/2024,29/11/2024,75000,
21504865840,Horse Whispering Youth Program Inc,,4207,Windaroo,Logan (C),4207,Logan Village,Logan (C),,,DYJ,Community-based Crime Action,,No,"This program is for 10 to16 year olds focusing on self-esteem and confidence in Logan. The program aims to empower at-risk young people with life and social skills, employment readiness, and mentorship through a transformative horse-assisted program.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/07/2024,30/06/2025,75000,
16133150979,Yiliyapinya Indigenous Corporation,,4102,Woolloongabba,Brisbane (C),4183,North Stradbroke Island,Redland (C),,,DYJ,Community-based Crime Action,,No,"The Cultural Connection and Healing Camps targeted at 10 to 17 year olds aim to provide Indigenous youth with cultural enrichment and healing experiences through activities such as traditional art, storytelling, traditional games, educational sessions, and interactions with elders, fostering community building and pride in Indigenous heritage across various Queensland locations.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,69500,1 year or less,3/06/2024,31/03/2025,69500,
57670622965,WARAMA CULTURE PTY LTD,,4700,The Range,Rockhampton (R),4702,Parkhurst,Rockhampton (R),,,DYJ,Community-based Crime Action,,No,"The Walk About program is a 10 week culturally responsive initiative for First Nations young people aged 13 to 18 years. The program focuses on connecting participants to their Indigenous identity, cultural practices, lore, and experiences to foster healing and readiness for prosocial community involvement. The program includes immersive cultural activities, traditional skills and exploration into culture and identity. The program is provided to 30 participants and aims to supports mental health and wellbeing as well as other living skills. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,21/06/2024,7/05/2025,75000,
41372481576,MULTICULTURAL AUSTRALIA LTD,,4102,Buranda,Brisbane (C),4301,Redbank Plains,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"Multicultural Australia's Balance Project is a 10-week capacity building program targeted at young people aged 12 to 18 years living in Redbank Plains, Bellbird Park, and Goodna areas. Program includes hands-on nutrition, cooking classes, and an exercise ""boot camp' style program to learn about physical fitness they can do at home or in the local park.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,28085,1 year or less,8/06/2024,29/11/2024,28085,
